word,bias_C1,bias_C2,bias_C3,bias_C4,bias_C5,bias_C6,bias_C7,bias_C8,bias_C9,bias_C10,bias_C11,bias_C12,bias_C13,bias_C14,bias_C15
sunrise,6.946859163333334,-3.3899363399999998,1.8778831333333335,-4.580760536666666,-1.32365083,-3.3756167766666665,-0.8544023786666667,-0.6950116666666668,7.060137883333333,5.156752766666666,5.539378210000001,0.8881809583333331,1.3678564833333333,5.48699605,3.1949400666666663
offspring,-3.5649449016666668,-7.322336375000001,0.45528448333333327,-2.1061216666666667,-3.462344191666667,7.211124058333334,-5.293721468333334,5.079943808333333,6.199548901666667,-7.869402016666667,-6.308922558333333,-3.1380281716666665,2.011647320833333,-4.764984299166667,4.06894278
establishments,-7.7505290598245615,4.434412239122807,2.4795457062105264,0.9828435521052632,0.6327785292982456,6.654878418157894,-2.258049620526316,-2.261851283649123,5.3984478590350875,2.710022919368421,-1.2583092824122808,-4.756865910701754,-3.03366240122807,-3.216956389175439,5.199301144736842
organisers,3.7144113633333333,2.95380936,-7.476725953333332,2.08069893,0.7212148900000004,-7.739476749166666,2.015030406666667,-0.69173017,0.7929248799999999,5.558524816666666,-2.8910103966666663,0.35241423666666677,-2.108253046666667,0.22705377166666674,-6.7300809
adequacy,-2.9810172,1.591609724,0.969443007,-2.174307228,3.28037778,-0.637004739,1.3840012800000001,0.04221947000000004,-2.31619096,1.130370398,0.2550886026,1.7195064080000002,0.6052628400000001,1.32209441,-0.6462860100000001
muralist,-5.885485825,2.0014856016666664,-0.4680664965833333,-2.6029145916666665,8.203220308333334,-6.641239391666666,6.0422080466666666,2.9166817800000002,-3.351319608333333,-4.758892939166667,3.074837041666667,1.7221367583333331,4.8924988,0.7755656575,-1.5897220083333332
construction,7.585710424536232,-6.303958819881642,1.5547482782277777,1.7529518294036233,-0.17634538174347825,0.5380619245630435,-13.6982919755314,-0.16657785944792267,-3.2232552772043475,-7.9965541838019325,-4.058099159890096,-0.30352211494347825,7.142155696639614,1.9936604354983092,1.8071655647661835
warlords,-3.789830086666667,-1.0305369833333333,6.5430344,-0.8630008333333334,4.0428308,1.2786096686666664,-1.2841519666666668,0.36122592500000006,-7.847777466666667,-6.990724800000001,6.71545675,-2.6942780516666667,3.0238137966666665,0.7058033733333333,-8.919127333333334
youths,2.445940603,2.76171919,-0.9312806339999999,-0.5492726299999999,1.8110049499999998,-1.0741153959999998,-0.3808488530000001,-0.7785911503999999,3.67740471,2.359431257,0.10652336699999998,-5.111349880000001,0.76228178,-4.86657406,-0.4975481641
wartime,-0.31090502857142877,0.3457135842857143,1.8064628542857142,-16.850911385714287,2.4974583557142855,-5.916320128571428,-0.961498237142857,0.37220336285714284,-2.8095858642857148,-2.616147296857143,-2.7353380585714286,2.8112062378571427,0.6806507442857143,-4.845093587142857,0.32404039428571424
moderation,-4.240995346666667,3.4211914446666665,-0.9711230873333333,3.0710642929999996,9.843585516666668,2.6569919586666666,0.9260398606666667,5.443835257333333,1.0969349728333333,-0.7307829616666668,2.6507938931666666,3.4098334973333335,-8.257153796666667,-1.8714930159999998,2.47587637
examinations,-2.15533029875,-2.3194053408333333,-0.8927260412500001,4.315796091333333,3.9479956054166667,1.4345427095833334,-4.4326266570833335,-1.0782204097916666,4.5880511295833335,2.5618557025,3.090839775,2.3180789524999996,1.4116014325,0.7266853241666666,-1.404555055875
rituals,1.8736389363076924,3.9871277388076924,-2.2807570243076927,-6.4861320614615385,5.6442934211999995,-2.1355326957692307,-1.107195675,-0.9841312084615385,-1.8780085301538463,0.9005382746153846,-0.013972011505769195,10.361592148076923,3.0725481848461538,1.0119465690192309,-0.5551022925
