condition,layer,mode,term,n,estimate,se,t,p,ci_lo,ci_hi
attn_zeroed,9,individual,log_freq:model_size1300,146850,-0.047774582778622066,0.020181078417056537,-2.3672958298523925,0.017919892414298522,-0.0873290956740759,-0.008220069883168236
attn_zeroed,9,mean_pooled,log_freq,146850,-0.05417490780450726,0.014540682124010579,-3.7257473440705997,1.9481027850902824e-4,-0.08267435598547115,-0.025675459623543374
attn_zeroed,9,mean_pooled,model_size125,146850,0.034544842677573386,0.014342548428038625,2.4085568091958303,0.01601695717350359,0.006433732605722782,0.06265595274942398
attn_zeroed,9,mean_pooled,model_size1300,146850,1.3062476843835507,0.014342548428057754,91.07500601693563,0,1.2781365743116626,1.3343587944554387
attn_zeroed,9,mean_pooled,log_freq:model_size125,146850,-0.012774379970349185,0.020563629865967107,-0.6212123080220792,0.5344609065705457,-0.05307868610808678,0.027529926167388412
attn_zeroed,9,mean_pooled,log_freq:model_size1300,146850,-0.06647746971898841,0.020563629865936444,-3.232769221795225,0.0012262360306418494,-0.1067817758566659,-0.02617316358131091
attn_zeroed,9,words_only,log_freq,146850,-0.0788203858485401,0.014215359041776546,-5.544734087749755,2.9490576329314842e-8,-0.10668220724933454,-0.05095856444774567
attn_zeroed,9,words_only,model_size125,146850,0.037574857479113315,0.014021658250954316,2.679772734908581,0.007368037418358173,0.01009268578137746,0.06505702917684916
attn_zeroed,9,words_only,model_size1300,146850,1.3347239653341842,0.014021658250973016,95.19016520328918,0,1.3072417936364118,1.3622061370319567
attn_zeroed,9,words_only,log_freq:model_size125,146850,0.0032782355597938046,0.020103553550917933,0.16306746722616708,0.8704655386901082,-0.036124330137694324,0.042680801257281936
attn_zeroed,9,words_only,log_freq:model_size1300,146850,-0.06911016788000553,0.020103553550887953,-3.437709045073427,5.868202226136976e-4,-0.1085127335774349,-0.029707602182576155
attn_zeroed,10,individual,log_freq,146850,-0.0745125222564396,0.014271796174564047,-5.220963174154615,1.7823651979815373e-7,-0.10248495931663998,-0.04654008519623923
attn_zeroed,10,individual,model_size125,146850,0.073176680249233,0.014077326362205283,5.198194484266366,2.0150207261985e-7,0.04558540015902983,0.10076796033943618
attn_zeroed,10,individual,model_size1300,146850,1.4087658352601906,0.01407732636222406,100.07339455030021,0,1.3811745551699506,1.4363571153504306
attn_zeroed,10,individual,log_freq:model_size125,146850,-0.007216398845386289,0.020183367709527604,-0.35754186066677923,0.7206867078956101,-0.046775398708617404,0.03234260101784483
attn_zeroed,10,individual,log_freq:model_size1300,146850,-0.06797135522976142,0.020183367709497507,-3.367691467949461,7.581982617671473e-4,-0.10753035509293354,-0.028412355366589287
attn_zeroed,10,mean_pooled,log_freq,146850,-0.04231779919108775,0.01456936935594179,-2.904573160116185,0.0036780906817590214,-0.0708734737769002,-0.013762124605275306
attn_zeroed,10,mean_pooled,model_size125,146850,0.0339273198177755,0.014370844763088848,2.360843804041149,0.018234707501041843,0.005760749491199747,0.06209389014435125
attn_zeroed,10,mean_pooled,model_size1300,146850,1.3413257910214624,0.014370844763108013,93.33660011865378,0,1.313159220694849,1.3694923613480758
attn_zeroed,10,mean_pooled,log_freq:model_size125,146850,-0.005726292812792181,0.02060419973843124,-0.2779187197506836,0.7810751447681236,-0.046110115094830234,0.03465752946924587
attn_zeroed,10,mean_pooled,log_freq:model_size1300,146850,-0.09355214779121601,0.020604199738400518,-4.540440734364497,5.618126142605396e-6,-0.13393597007319386,-0.05316832550923818
attn_zeroed,10,words_only,log_freq,146850,-0.07574946637543872,0.014279770245370357,-5.304669828283648,1.1304004461107163e-7,-0.10373753245605215,-0.0477614002948253
