model,condition,n,r2_probe,r2_behav,beta2_probe,beta2_probe_lo,beta2_probe_hi,beta2_behav,beta2_behav_lo,beta2_behav_hi
EleutherAI_pythia-2.8b_step32,attn_zeroed,48950,0.36746906904488513,0.06867738188868537,0.020660399500550708,0.005303212796947711,0.036017586204153705,0.02051560245765216,0.0013540214548652361,0.03967718346043908
EleutherAI_pythia-2.8b_step32,default,48950,0.44433424644557484,0.12610080267915358,0.017642923227435194,0.0018169555091231242,0.03346889094574726,0.07503948700476144,0.05431275788304295,0.09576621612647994
EleutherAI_pythia-2.8b_step512,attn_zeroed,48950,0.36746906904488513,0.06867738188868537,0.020660399500550708,0.005303212796947711,0.036017586204153705,0.02051560245765216,0.0013540214548652361,0.03967718346043908
EleutherAI_pythia-2.8b_step512,default,48950,0.44433424644557484,0.12610080267915358,0.017642923227435194,0.0018169555091231242,0.03346889094574726,0.07503948700476144,0.05431275788304295,0.09576621612647994
EleutherAI_pythia-2.8b_step64,attn_zeroed,48950,0.3662061433608741,0.06867948656067283,0.02206911975614502,0.0066991751118223395,0.0374390644004677,0.020537063141529116,0.0013753513221165664,0.039698774960941666
EleutherAI_pythia-2.8b_step64,default,48950,0.44324097704320015,0.12609642360853093,0.01609681019071355,0.00024281218910810615,0.03195080819231899,0.07503881126948479,0.05431217149387965,0.09576545104508993
EleutherAI_pythia-410m,attn_zeroed,48950,0.2902062204359868,0.06612737116219801,0.013140673965878175,-0.0024073209824553455,0.028688668914211693,0.006831741559237686,-0.01153192838712195,0.025195411505597322
EleutherAI_pythia-410m,default,48950,0.3522298441457418,0.10862854102289625,0.024678512443665594,0.008153162992544982,0.041203861894786205,0.052370977727694654,0.03226659523631134,0.07247536021907797
EleutherAI_pythia-410m_step1000,attn_zeroed,48950,0.4345518304086878,0.09860735345859649,0.005684438237193515,-0.00738045909578143,0.01874933557016846,-0.0032352856596785523,-0.021522326679515317,0.015051755360158212
EleutherAI_pythia-410m_step1000,default,48950,0.4398410300242015,0.09175542692622816,0.028110353791916787,0.0147461284867277,0.041474579097105876,0.0045753007438657095,-0.01422665803749604,0.02337725952522746
EleutherAI_pythia-410m_step16,attn_zeroed,48950,0.35173738497315915,0.04435724971715267,0.004405340105184369,-0.012106353273560504,0.020917033483929242,-0.0420437395751847,-0.06461057077096072,-0.019476908379408693
EleutherAI_pythia-410m_step16,default,48950,0.2951776989801646,0.044274895956497355,-0.0011612004894122584,-0.018705296622749414,0.016382895643924898,-0.04169247518974205,-0.06426371214076557,-0.019121238238718526
EleutherAI_pythia-410m_step256,attn_zeroed,48950,0.44742816699683036,0.06753848659132684,0.0019087424364450617,-0.01026498973483226,0.014082474607722384,-0.025349732123626206,-0.04321992778513752,-0.00747953646211489
EleutherAI_pythia-410m_step256,default,48950,0.5324381492042508,0.06601282546558705,0.0046482841114299876,-0.006115842725770024,0.015412410948629999,-0.02573008428516703,-0.043431934322103426,-0.008028234248230633
EleutherAI_pythia-410m_step32,attn_zeroed,48950,0.33513270538219975,0.04896941851806825,-0.004594759596384147,-0.021366139177099085,0.01217661998433079,-0.04058572274107847,-0.0629299649538309,-0.018241480528326044
EleutherAI_pythia-410m_step32,default,48950,0.32218444974219873,0.04849995030134258,0.0017047421853342692,-0.015275902163419808,0.018685386534088348,-0.04010803522586823,-0.06243195418295461,-0.017784116268781847
EleutherAI_pythia-410m_step512,attn_zeroed,48950,0.4398305743417271,0.06524743111935868,0.010428295980768526,-0.0016807094876026309,0.022537301449139683,-0.019737500085518035,-0.03757082718500643,-0.001904172986029639
EleutherAI_pythia-410m_step512,default,48950,0.4785700989288193,0.07190838884481814,0.006017004340028505,-0.005516275178482492,0.017550283858539503,-0.019857435200700515,-0.037632822903287705,-0.002082047498113325
EleutherAI_pythia-410m_step64,attn_zeroed,48950,0.31911833179109683,0.07229375184423398,0.007278649884879071,-0.009372199779777747,0.02392949954953589,-0.03879351284463979,-0.06019196592205996,-0.01739505976721962
EleutherAI_pythia-410m_step64,default,48950,0.33452501436662735,0.0718831922791427,0.0134191570429496,-0.003060791373818029,0.02989910545971723,-0.03935749072922832,-0.060699609216540065,-0.018015372241916575
allenai_OLMo-1B-hf,attn_zeroed,48950,0.3829466537595324,0.07095640780091336,0.014323108610851634,0.0007282461110042372,0.027917971110699033,0.01715286967015639,-0.00029873572630546505,0.03460447506661825
allenai_OLMo-1B-hf,default,48950,0.4472460891600915,0.11634785528681775,0.022032649905262373,0.0077460873458330085,0.03631921246469174,0.06310716938364658,0.04393685317792352,0.08227748558936963
allenai_OLMo-2-0425-1B,attn_zeroed,48950,0.37807758832149324,0.05791795842655151,0.03182841910740357,0.016488980246201483,0.047167857968605655,0.025262812578975974,0.005601804898846138,0.04492382025910581
allenai_OLMo-2-0425-1B,default,48950,0.42445495517101767,0.11587834006295536,0.023142868042097538,0.007447822463772388,0.03883791362042269,0.06577008960951186,0.04528645179967059,0.08625372741935314
allenai_OLMo-2-1124-7B,attn_zeroed,48950,0.4858823315105752,0.0599765950064277,0.029029028923762745,0.014400358396338778,0.043657699451186714,0.0231251086558443,0.0023635651678481327,0.043886652143840466
allenai_OLMo-2-1124-7B,default,48950,0.5498606831014695,0.12746968775280637,0.022432352284964624,0.007528399129595898,0.03733630544033335,0.0540729441276317,0.031923268299723154,0.07622261995554025
allenai_OLMo-7B-hf,attn_zeroed,48950,0.4429989092550928,0.06325242787793943,0.011477520606649319,-0.0013728064779631299,0.02432784769126177,0.02024447457623685,0.002724778283561803,0.037764170868911894
allenai_OLMo-7B-hf,default,48950,0.5140463317442002,0.12188609844833903,0.0039367581183938835,-0.009780158585107016,0.017653674821894783,0.05785904464933453,0.03809661583810131,0.07762147346056775
gpt2,attn_zeroed,48950,0.49902836551478835,0.043013144334340045,0.005047031701207294,-0.013099435342530195,0.023193498744944783,0.026523728663015056,-0.002880771115316181,0.05592822844134629
gpt2,default,48950,0.3604900926425223,0.10445133482036269,0.05892508454073799,0.043445953376810835,0.07440421570466516,0.06434011116634387,0.045264968347960545,0.08341525398472721
gpt2-large,attn_zeroed,48950,0.34980522163386085,0.06826624308388385,0.005642412033925612,-0.010569291686765035,0.02185411575461626,0.02045964784661866,-0.0005970822772235762,0.0415163779704609
gpt2-large,default,48950,0.36696176638616673,0.11871467140256434,0.024093305336446158,0.008217149155935279,0.03996946151695704,0.07353944989916024,0.05411002304058324,0.09296887675773724
gpt2-medium,attn_zeroed,48950,0.437988171545467,0.049937205630983354,0.012125060096636414,-0.00559793605928828,0.02984805625256111,0.015409497463257843,-0.01080126128062163,0.041620256207137316
gpt2-medium,default,48950,0.3425874037611955,0.11100402358634068,0.03854772765854812,0.022317700017695914,0.054777755299400335,0.07270141500750944,0.053026039402879824,0.09237679061213906
gpt2-xl,attn_zeroed,48950,0.4005713633248128,0.05436007627701463,0.016137778473275438,-0.0004186621716560819,0.032694219118206955,0.025100568098433668,0.0019844528859106238,0.048216683310956715
gpt2-xl,default,48950,0.3639691984039952,0.11814214960219775,0.02226439146921269,0.006044582335338111,0.03848420060308727,0.0683776601163925,0.048370864434183966,0.08838445579860103
